rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh,year,soh_frac,objective_value,solver_status
2625355.7397106946,4156267.538492511,2250943.3360850173,301315.3013187391,44983.9817675965,9378865.89737456,25903.610957729998,1,0.9221529240000002,10129255.915036496,Optimal
2704369.4537313525,4306327.14674356,2145537.077904374,309174.4630352042,35134.919146008346,9500543.060560498,27280.367947109997,2,0.882232884,10255673.46130702,Optimal
2552778.864836823,4320036.70991808,2163125.908736415,308684.81779873976,38688.783422537344,9383315.084712595,25588.42099235,3,0.8497978515000001,10142263.553587671,Optimal
2166887.218791059,4347549.308771143,2394572.2342032315,310110.21730113274,48443.25860039254,9267562.237666959,19395.585827475,4,0.8212550229,10056526.128653156,Optimal
2110918.910027591,4395875.257953139,2389058.6388356416,312637.28167109337,48953.74040550816,9257443.828892974,18828.4104362,5,0.7955065970999999,10051502.153211346,Optimal
2130088.227587361,4396306.743896399,2234847.537055994,309401.38584364153,49341.32454572189,9119985.218929118,20310.789554950003,6,0.7716543732,9896640.440189296,Optimal
2374328.531776894,4494001.40844092,2155963.6960764965,322546.5113799879,31276.009343126265,9378116.157017423,23584.458041695,7,0.7492991508,10156314.782044144,Optimal
2329771.9162317673,4507429.328235049,2162563.4223848376,324174.9082804944,31793.19414692709,9355732.769279076,23239.884738539997,8,0.7282413296999999,10136395.086284319,Optimal
2271730.436243561,4525524.467572216,2174626.563124958,327114.0775342824,31328.07049892955,9330323.614973947,22679.3428327,9,0.7080817095,10114611.745943971,Optimal
2205550.929371559,4573661.1241293745,2175643.1992892604,329987.884875148,32065.43889027786,9316908.57655562,21959.28974795,10,0.6888202902,10107059.426242717,Optimal
2146021.5451763663,4597635.947994844,2179922.6726241456,331350.94951386855,33514.69945261724,9288445.814761844,21156.459202500002,11,0.6702574715999999,10082048.511382442,Optimal
2025763.356390178,4641034.375054052,2161584.138740599,328887.7731107254,39402.37445597819,9196672.017751534,19715.39238622,12,0.6523932537,9993439.646791676,Optimal
2043612.1161296281,4731671.913014301,2138406.898060314,335251.4936599008,35434.139234490736,9284376.560098635,20115.16565255,13,0.6351278364,10088905.942761853,Optimal
2000223.0891817878,4750399.585748778,2141371.024659389,334466.6362101672,37329.32041968338,9263789.656219807,19563.13257665,14,0.6183614196,10070852.608112901,Optimal
1941960.4204738224,4758047.72804965,2163040.741272119,336574.3531932075,37626.817732307005,9237250.060721103,18961.12076124,15,0.6019942032,10047837.79852635,Optimal
