year,status,pulp_status_code,result_status,solve_time_s,objective_value,time_limit_s
1,Optimal,1,1,3691.2810210000002,10129255.915036496,3600.0
2,Optimal,1,1,3625.7326292999996,10255673.46130702,3600.0
3,Optimal,1,1,3622.6477718000006,10142263.553587671,3600.0
4,Optimal,1,1,3624.106107800002,10056526.128653156,3600.0
5,Optimal,1,1,3625.4020450999997,10051502.153211346,3600.0
6,Optimal,1,1,3623.8242432000006,9896640.440189296,3600.0
7,Optimal,1,1,3637.3443105000006,10156314.782044144,3600.0
8,Optimal,1,1,3626.7171113000004,10136395.086284319,3600.0
9,Optimal,1,1,3624.6701786000012,10114611.745943971,3600.0
10,Optimal,1,1,3622.2428814000014,10107059.426242717,3600.0
11,Optimal,1,1,3636.1460701000033,10082048.511382442,3600.0
12,Optimal,1,1,3623.1344828,9993439.646791676,3600.0
13,Optimal,1,1,3655.6907005999965,10088905.942761853,3600.0
14,Optimal,1,1,4036.5243518999996,10070852.608112901,3600.0
15,Optimal,1,1,3736.0494974999965,10047837.79852635,3600.0
