year,soh_frac,rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh
1,0.9221529240000002,2625355.739710694,4156267.538492511,2250943.3360850173,301315.3013187391,44983.9817675965,9378865.89737456,25903.61095773
2,0.882232884,2704369.4537313525,4306327.14674356,2145537.077904374,309174.4630352042,35134.919146008346,9500543.060560498,27280.36794711
3,0.8497978515000001,2552778.864836823,4320036.70991808,2163125.908736415,308684.81779873976,38688.783422537344,9383315.084712597,25588.42099235
4,0.8212550229,2166887.218791059,4347549.308771143,2394572.2342032315,310110.21730113274,48443.25860039254,9267562.23766696,19395.585827475
5,0.7955065970999999,2110918.910027591,4395875.257953139,2389058.6388356416,312637.28167109337,48953.74040550816,9257443.828892974,18828.4104362
6,0.7716543732,2130088.227587361,4396306.743896399,2234847.537055994,309401.38584364153,49341.32454572189,9119985.218929118,20310.789554950003
7,0.7492991508,2374328.531776894,4494001.40844092,2155963.6960764965,322546.5113799879,31276.009343126265,9378116.157017425,23584.458041695
8,0.7282413296999999,2329771.9162317677,4507429.328235049,2162563.4223848376,324174.9082804944,31793.19414692709,9355732.769279076,23239.88473854
9,0.7080817095,2271730.436243561,4525524.467572216,2174626.563124958,327114.0775342824,31328.07049892955,9330323.614973947,22679.3428327
10,0.6888202902,2205550.929371559,4573661.124129375,2175643.1992892604,329987.884875148,32065.43889027786,9316908.57655562,21959.28974795
11,0.6702574715999999,2146021.5451763663,4597635.947994844,2179922.6726241456,331350.94951386855,33514.69945261724,9288445.814761844,21156.4592025
12,0.6523932537,2025763.356390178,4641034.375054052,2161584.138740599,328887.7731107254,39402.37445597819,9196672.017751534,19715.39238622
13,0.6351278364,2043612.116129628,4731671.913014301,2138406.898060314,335251.4936599008,35434.139234490736,9284376.560098637,20115.16565255
14,0.6183614196,2000223.089181788,4750399.585748778,2141371.024659389,334466.6362101672,37329.32041968338,9263789.656219808,19563.13257665
15,0.6019942032,1941960.4204738224,4758047.72804965,2163040.741272119,336574.3531932075,37626.817732307005,9237250.060721103,18961.12076124
